,ID,Group,Sex,BL
0,Rat1,A,Male,0.0
1,Rat2,A,Male,0.5555555555555556
2,Rat3,A,Male,0.0
3,Rat4,A,Male,1.3333333333333333
4,Rat5,A,Male,0.5555555555555556
5,Rat6,A,Male,0.0
6,Rat7,A,Female,1.4444444444444444
7,Rat8,A,Female,0.7777777777777778
8,Rat9,A,Female,0.7777777777777778
9,Rat10,A,Female,0.0
10,Rat11,A,Female,0.5555555555555556
11,Rat12,B,Male,0.5555555555555556
12,Rat13,B,Male,2.0
13,Rat14,B,Male,0.0
14,Rat15,B,Male,0.0
15,Rat16,B,Male,0.0
16,Rat17,B,Female,0.6666666666666666
17,Rat18,B,Female,3.5555555555555554
18,Rat19,B,Female,0.0
19,Rat20,B,Female,0.0
20,Rat21,B,Female,1.5555555555555556
