,,,CS,CS,CS,CS,CS,ISI,ISI,ISI,ISI,ISI,US,US,US,US,US
Trial,,,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
ID,Sex,Group,,,,,,,,,,,,,,,
Rat1,Male,A,0.0,30.0,20.0,12.0,80.0,0.0,2.413793103448276,10.344827586206897,15.517241379310345,26.20689655172414,0.0,10.0,0.0,50.0,40.0
Rat10,Female,A,0.0,44.0,50.0,10.0,10.0,12.758620689655173,14.827586206896552,8.620689655172415,1.7241379310344827,20.689655172413794,0.0,0.0,20.0,0.0,0.0
Rat11,Female,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.827586206896552,0.0,0.0,0.0,0.0,0.0
Rat12,Male,B,0.0,0.0,10.0,38.0,0.0,5.517241379310345,15.172413793103448,8.620689655172415,25.517241379310345,38.96551724137931,0.0,0.0,0.0,0.0,70.0
Rat13,Male,B,0.0,14.0,46.0,80.0,64.0,4.137931034482759,40.3448275862069,33.10344827586207,43.44827586206897,49.310344827586206,0.0,10.0,0.0,30.0,30.0
Rat14,Male,B,0.0,18.0,74.0,90.0,66.0,11.03448275862069,14.827586206896552,42.758620689655174,34.48275862068966,22.06896551724138,0.0,0.0,20.0,60.0,30.0
Rat15,Male,B,0.0,86.0,80.0,14.0,94.0,10.344827586206897,24.482758620689655,10.0,50.689655172413794,49.310344827586206,0.0,0.0,20.0,60.0,30.0
Rat16,Male,B,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7241379310344827,0.0,0.0,0.0,0.0,0.0
Rat17,Female,B,12.0,0.0,24.0,0.0,82.0,12.758620689655173,26.896551724137932,15.862068965517242,19.655172413793103,65.17241379310344,0.0,0.0,0.0,0.0,40.0
Rat18,Female,B,0.0,18.0,24.0,74.0,10.0,6.206896551724138,1.7241379310344827,23.448275862068964,17.93103448275862,0.0,0.0,0.0,0.0,30.0,0.0
Rat19,Female,B,0.0,60.0,64.0,70.0,0.0,37.241379310344826,26.896551724137932,37.58620689655172,27.93103448275862,20.689655172413794,0.0,20.0,20.0,0.0,0.0
Rat2,Male,A,0.0,0.0,0.0,18.0,36.0,0.0,0.0,6.206896551724138,4.482758620689655,0.0,0.0,0.0,0.0,0.0,30.0
Rat20,Female,B,0.0,18.0,88.0,90.0,56.0,5.172413793103448,33.793103448275865,39.6551724137931,19.310344827586206,44.48275862068966,0.0,20.0,20.0,40.0,0.0
Rat21,Female,B,10.0,0.0,84.0,92.0,100.0,6.206896551724138,16.20689655172414,58.62068965517241,52.41379310344828,7.931034482758621,0.0,0.0,40.0,30.0,50.0
Rat3,Male,A,0.0,0.0,0.0,0.0,20.0,6.206896551724138,0.0,14.827586206896552,4.137931034482759,12.068965517241379,0.0,0.0,0.0,0.0,0.0
Rat4,Male,A,0.0,32.0,66.0,98.0,98.0,37.241379310344826,58.275862068965516,59.310344827586206,80.0,72.75862068965517,0.0,20.0,0.0,30.0,30.0
Rat5,Male,A,0.0,10.0,74.0,52.0,76.0,27.24137931034483,41.37931034482759,40.0,44.13793103448276,39.6551724137931,0.0,70.0,20.0,0.0,40.0
Rat6,Male,A,0.0,0.0,14.0,24.0,0.0,2.413793103448276,0.0,14.482758620689655,5.862068965517241,0.0,0.0,0.0,30.0,0.0,0.0
Rat7,Female,A,10.0,24.0,64.0,74.0,92.0,16.896551724137932,38.275862068965516,62.41379310344828,68.96551724137932,74.82758620689656,0.0,0.0,0.0,30.0,0.0
Rat8,Female,A,0.0,10.0,66.0,26.0,48.0,13.448275862068966,18.275862068965516,41.03448275862069,20.344827586206897,22.75862068965517,0.0,0.0,0.0,30.0,30.0
Rat9,Female,A,0.0,88.0,60.0,86.0,78.0,11.03448275862069,38.62068965517241,45.51724137931034,33.44827586206897,44.48275862068966,0.0,0.0,0.0,30.0,10.0
