Rat4,Rat19,Rat15,Rat18,Rat3,Rat9,Rat14
99.951172,46.289063,68.212891,99.951172,36.523438,27.978516,24.169922
99.609375,28.076171999999996,99.951172,99.951172,49.365234,15.478516,17.529297
98.681641,54.00390600000001,97.851563,99.951172,99.951172,3.076172,27.685546999999996
27.099609,8.007813,98.730469,84.667969,56.689453,20.166016,47.119141
66.503906,74.169922,29.785156,6.542969,99.951172,16.455078,18.164063
49.414063,37.451172,23.242188,99.951172,13.427734,24.121094,98.535156
12.109375,41.113281,51.513672,99.21875,99.169922,1.757813,99.267578
46.923828,98.925781,24.414063,35.498047,99.267578,11.279297,88.232422
86.71875,7.714844,66.650391,87.792969,99.316406,13.232422,13.476563
48.535156,99.951172,53.466797,99.951172,30.566406,12.939453,17.724609
83.642578,59.66796899999999,47.753906,99.951172,65.625,45.019531,99.121094
99.462891,98.632813,98.730469,99.365234,50.927734,24.755859,99.121094
99.951172,58.69140600000001,99.951172,99.21875,99.121094,16.650391,99.951172
99.951172,7.080078,99.951172,99.169922,8.691406,44.140625,95.947266
99.951172,4.052734,99.121094,99.121094,98.535156,7.275391,99.951172
99.951172,39.453125,67.626953,43.066406,99.21875,99.951172,99.951172
99.951172,24.902344,31.689453000000004,98.828125,98.583984,98.828125,99.951172
99.951172,31.494141,59.179688,98.974609,18.457031,58.740233999999994,63.57421899999999
99.21875,45.751953,99.951172,56.884766000000006,99.951172,75.78125,46.923828
99.560547,99.951172,99.951172,3.7597660000000004,18.457031,21.533203,90.917969
99.560547,4.443359,99.462891,2.685547,79.736328,30.517578000000004,99.414063
99.560547,79.931641,99.365234,41.943359,78.271484,12.255859,99.267578
99.560547,61.669922,99.951172,22.65625,96.826172,5.224609,99.267578
85.400391,99.951172,79.199219,2.978516,34.521484,1.171875,99.21875
99.951172,94.921875,79.101563,96.289063,13.232422,12.744141,99.169922
91.601563,59.130858999999994,99.21875,7.763672,10.546875,7.519531,99.267578
99.951172,1.416016,98.974609,99.951172,18.75,1.757813,66.845703
21.728516,13.574219,98.388672,80.029297,28.808594,2.050781,15.429688
41.601563,1.953125,98.486328,99.951172,40.185547,2.050781,24.072266
99.951172,8.886719,94.189453,37.011719,76.220703,1.8554689999999998,42.480469
99.951172,12.158203,99.951172,38.671875,2.001953,3.466797,17.1875
99.951172,13.232422,97.802734,19.580078,71.728516,3.125,18.945313
99.951172,4.541016,45.3125,99.169922,50.439453,7.666016,64.599609
99.951172,25.488281,99.951172,99.169922,76.074219,0.878906,99.951172
41.015625,74.316406,32.617188,99.267578,14.404297,18.505859,99.951172
16.357422,37.548828,40.185547,59.47265600000001,65.673828,4.052734,36.132813
91.015625,31.738281,99.951172,82.714844,6.982422,11.865234,99.951172
88.134766,38.818359,99.951172,99.267578,27.978516,1.5625,97.900391
75.439453,60.64453100000001,12.255859,98.583984,9.082031,0.488281,99.267578
81.152344,99.951172,84.814453,98.876953,9.423828,1.8554689999999998,99.267578
99.023438,99.267578,31.347656,98.4375,88.769531,3.7109379999999996,98.583984
99.023438,98.535156,52.783203,98.291016,14.941406,13.134766,17.333984
58.203125,99.951172,71.582031,56.103516000000006,28.759766,17.382813,98.681641
99.658203,99.951172,67.871094,39.746094,11.230469,10.839844,99.951172
99.658203,99.316406,63.085938,62.060547,32.8125,29.248046999999996,36.425781
87.158203,98.974609,99.414063,99.951172,20.068359,54.150391000000006,99.21875
98.828125,99.951172,98.876953,99.951172,34.667969,80.371094,86.523438
48.339844,10.9375,99.951172,95.849609,32.714844,17.138672,99.951172
37.695313,70.068359,99.951172,99.951172,50.78125,22.851563,45.556641
99.951172,29.296875,99.951172,72.314453,62.255858999999994,38.330078,4.003906
86.376953,5.566406,84.326172,87.060547,35.546875,54.00390600000001,13.964844
61.328125,67.1875,17.138672,99.951172,97.509766,2.441406,99.951172
5.46875,98.583984,2.978516,99.951172,59.66796899999999,79.492188,99.951172
99.365234,47.509766,16.40625,53.076172,99.951172,31.982421999999996,99.951172
91.552734,25.927734,20.019531,99.951172,99.951172,38.085938,98.486328
50.976563,44.628906,15.429688,99.951172,99.951172,31.835938,8.056641
99.21875,8.691406,2.197266,35.839844,99.951172,14.599609,99.951172
57.51953100000001,11.962891,56.93359399999999,83.984375,99.951172,94.775391,99.023438
37.744141,61.62109399999999,12.939453,64.990234,56.689453,98.828125,99.267578
23.828125,12.5,99.951172,97.509766,98.535156,47.216797,99.951172
31.347656,99.951172,99.560547,99.951172,76.757813,80.615234,99.951172
99.951172,94.384766,99.462891,43.847656,1.269531,38.525391,99.267578
99.951172,98.339844,99.951172,12.548828,59.47265600000001,6.054688,39.697266
69.042969,38.964844,39.794922,99.951172,47.998047,9.912109,11.132813
75.0,10.058594,60.400391000000006,32.8125,48.339844,3.564453,98.730469
52.197266,15.429688,28.222656,98.974609,29.980469,7.8125,99.951172
55.126953,49.511719,99.951172,8.154297,6.542969,45.605469,99.951172
65.771484,4.589844,98.828125,99.951172,21.777344,54.345703,99.169922
79.589844,35.009766,68.75,98.925781,39.892578,55.37109399999999,99.072266
9.814453,24.658203,39.941406,98.339844,21.679688,44.628906,99.951172
99.316406,99.951172,0.585938,98.388672,19.433594,29.882813,19.580078
99.511719,97.998047,1.074219,0.146484,59.570313,24.169922,53.41796899999999
99.609375,99.267578,55.95703100000001,98.730469,60.15625,18.701172,99.951172
98.974609,99.951172,44.970703,99.267578,39.404297,42.138672,30.810546999999996
94.091797,99.951172,35.107422,81.835938,48.681641,99.951172,99.316406
98.095703,98.4375,99.951172,99.951172,49.707031,15.966797,99.951172
5.859375,46.777344,99.951172,99.951172,11.474609,98.242188,99.951172
37.5,63.330078,98.144531,99.951172,5.859375,17.822266,99.951172
49.462891,47.65625,8.007813,99.951172,31.054688,89.892578,99.951172
66.259766,4.101563,54.78515600000001,99.267578,7.910156,99.023438,99.951172
