Rat21,Rat6,Rat11,Rat5,Rat20,Rat16,Rat10
98.974609,6.982422,85.400391,99.21875,80.029297,64.697266,65.966797
53.320313,1.6601560000000002,99.951172,99.21875,48.828125,99.951172,18.115234
6.25,99.951172,3.857422,99.267578,5.46875,66.064453,99.951172
99.658203,23.046875,92.626953,99.267578,34.912109,35.253906,99.951172
99.560547,99.365234,99.511719,99.414063,56.640625,0.390625,99.951172
42.675781,98.828125,89.013672,1.269531,40.576172,17.626953,11.474609
99.951172,99.951172,99.951172,32.568359,64.794922,3.027344,12.988281
28.759766,20.751953,63.085938,22.167969,65.673828,99.951172,54.638672
25.585938,47.900391,2.441406,99.951172,5.175781,98.535156,29.833984
8.056641,55.810547,17.041016,99.951172,96.679688,99.316406,28.417969
99.951172,98.974609,4.492188,99.951172,8.154297,99.951172,29.882813
47.216797,67.675781,8.935547,99.951172,26.269531,99.951172,22.851563
99.609375,99.951172,19.384766,99.951172,98.730469,32.275391,45.605469
99.951172,1.5625,41.113281,99.951172,98.388672,71.972656,99.951172
21.240234,98.828125,35.595703,99.951172,73.730469,43.359375,5.175781
98.681641,43.408203,60.302733999999994,99.951172,99.951172,59.033203,34.619141
68.554688,99.951172,99.169922,99.951172,89.013672,9.375,99.21875
5.761719,99.951172,99.267578,85.888672,98.535156,70.117188,99.316406
58.544922,98.779297,99.951172,23.632813,47.949219,8.935547,99.21875
66.015625,99.21875,50.927734,24.951172,47.363281,43.457031,99.21875
91.699219,99.951172,99.267578,21.289063,71.142578,62.695313,99.21875
11.328125,99.951172,49.023438,12.060547,19.287109,98.193359,99.121094
13.037109,38.574219,16.845703,36.572266,10.302734,80.810547,98.681641
37.402344,99.951172,13.574219,8.398438,11.621094,93.554688,63.427733999999994
22.753906,35.205078,10.009766,58.056641000000006,26.660156,98.242188,64.599609
8.251953,98.730469,1.416016,31.884766,99.951172,42.285156,58.447266000000006
6.494141,99.951172,99.951172,28.515625,32.03125,98.632813,84.179688
8.203125,17.431641,70.507813,27.392578000000004,54.150391000000006,99.951172,99.951172
9.472656,98.339844,99.414063,14.648438,75.341797,99.951172,92.822266
4.638672,30.859375,20.996094,8.251953,56.34765600000001,99.951172,26.025391
2.490234,21.728516,99.951172,25.878906,55.273438,99.21875,16.357422
10.9375,50.341797,0.09765599999999999,32.324219,68.994141,97.851563,81.347656
0.390625,14.208984,3.955078,4.443359,99.951172,99.951172,99.951172
