,ID,Group,Sex,BL
0,Rat1,A,Male,1.3333333333333333
1,Rat2,A,Male,4.333333333333333
2,Rat3,A,Male,6.111111111111111
3,Rat4,A,Male,5.777777777777778
4,Rat5,A,Male,1.7777777777777777
5,Rat6,A,Male,1.4444444444444444
6,Rat7,A,Female,3.7777777777777777
7,Rat8,A,Female,16.0
8,Rat9,A,Female,48.44444444444444
9,Rat10,A,Female,45.888888888888886
10,Rat11,A,Female,4.666666666666667
11,Rat12,B,Male,7.111111111111111
12,Rat13,B,Male,2.111111111111111
13,Rat14,B,Male,18.22222222222222
14,Rat15,B,Male,28.0
15,Rat16,B,Male,0.0
16,Rat17,B,Female,10.333333333333334
17,Rat18,B,Female,0.5555555555555556
18,Rat19,B,Female,44.333333333333336
19,Rat20,B,Female,51.77777777777778
20,Rat21,B,Female,0.0
