,ID,Group,Sex,Trial,CS,US,ISI
0,Rat1,A,Male,1,20.0,,5.333333333333333
1,Rat1,A,Male,2,0.0,,0.0
2,Rat1,A,Male,3,42.0,,4.666666666666667
3,Rat1,A,Male,4,18.0,,17.333333333333332
4,Rat1,A,Male,5,14.0,,12.666666666666666
5,Rat1,A,Male,6,18.0,,26.0
6,Rat1,A,Male,7,20.0,,70.0
7,Rat1,A,Male,8,74.0,,42.666666666666664
8,Rat1,A,Male,9,0.0,,6.0
9,Rat1,A,Male,10,14.0,,0.0
10,Rat1,A,Male,11,0.0,,14.666666666666666
11,Rat1,A,Male,12,0.0,,9.333333333333334
12,Rat1,A,Male,13,0.0,,0.0
13,Rat1,A,Male,14,0.0,,0.0
14,Rat1,A,Male,15,0.0,,0.0
15,Rat1,A,Male,16,14.0,,0.0
16,Rat1,A,Male,17,0.0,,5.333333333333333
17,Rat1,A,Male,18,24.0,,16.0
18,Rat1,A,Male,19,0.0,,26.666666666666668
19,Rat1,A,Male,20,0.0,,0.0
20,Rat1,A,Male,21,0.0,,12.0
21,Rat1,A,Male,22,0.0,,13.333333333333334
22,Rat1,A,Male,23,0.0,,6.0
23,Rat1,A,Male,24,46.0,,18.666666666666668
24,Rat1,A,Male,25,0.0,,0.0
25,Rat1,A,Male,26,12.0,,6.666666666666667
26,Rat1,A,Male,27,14.0,,12.0
27,Rat1,A,Male,28,0.0,,33.333333333333336
28,Rat1,A,Male,29,10.0,,0.0
29,Rat1,A,Male,30,0.0,,15.333333333333334
30,Rat1,A,Male,31,18.0,,34.0
31,Rat1,A,Male,32,36.0,,23.333333333333332
32,Rat1,A,Male,33,0.0,,19.333333333333332
33,Rat1,A,Male,34,38.0,,40.0
34,Rat1,A,Male,35,0.0,,12.666666666666666
35,Rat1,A,Male,36,26.0,,22.0
36,Rat1,A,Male,37,36.0,,31.333333333333332
37,Rat1,A,Male,38,10.0,,20.666666666666668
38,Rat1,A,Male,39,0.0,,16.666666666666668
39,Rat1,A,Male,40,34.0,,12.666666666666666
40,Rat1,A,Male,41,18.0,,17.333333333333332
41,Rat1,A,Male,42,50.0,,23.333333333333332
42,Rat1,A,Male,43,0.0,,15.333333333333334
