,ID,Group,Sex,BL
0,Rat1,A,Male,0.0
1,Rat2,A,Male,1.5555555555555556
2,Rat3,A,Male,2.6666666666666665
3,Rat4,A,Male,0.0
4,Rat5,A,Male,1.1111111111111112
5,Rat6,A,Male,4.666666666666667
6,Rat7,A,Female,1.8888888888888888
7,Rat8,A,Female,17.22222222222222
8,Rat9,A,Female,15.777777777777779
9,Rat10,A,Female,0.0
10,Rat11,A,Female,2.111111111111111
11,Rat12,B,Male,5.666666666666667
12,Rat13,B,Male,0.6666666666666666
13,Rat14,B,Male,0.7777777777777778
14,Rat15,B,Male,0.5555555555555556
15,Rat16,B,Male,5.222222222222222
16,Rat17,B,Female,8.777777777777779
17,Rat18,B,Female,0.5555555555555556
18,Rat19,B,Female,7.555555555555555
19,Rat20,B,Female,2.7777777777777777
20,Rat21,B,Female,1.2222222222222223
