,ID,Group,Sex,Trial,CS,US,ISI
0,Rat1,A,Male,1,16.0,,0.0
1,Rat1,A,Male,2,10.0,,8.666666666666666
2,Rat1,A,Male,3,12.0,,3.3333333333333335
3,Rat1,A,Male,4,0.0,,11.333333333333334
4,Rat1,A,Male,5,0.0,,4.666666666666667
5,Rat1,A,Male,6,0.0,,21.333333333333332
6,Rat1,A,Male,7,0.0,,15.333333333333334
7,Rat1,A,Male,8,0.0,,18.0
8,Rat1,A,Male,9,0.0,,0.0
9,Rat1,A,Male,10,0.0,,8.0
10,Rat1,A,Male,11,14.0,,4.666666666666667
11,Rat1,A,Male,12,0.0,,22.666666666666668
12,Rat1,A,Male,13,0.0,,24.666666666666668
13,Rat1,A,Male,14,22.0,,11.333333333333334
14,Rat1,A,Male,15,20.0,,4.666666666666667
15,Rat1,A,Male,16,42.0,,0.0
16,Rat1,A,Male,17,0.0,,14.0
17,Rat1,A,Male,18,0.0,,0.0
18,Rat1,A,Male,19,0.0,,0.0
19,Rat1,A,Male,20,0.0,,10.0
20,Rat1,A,Male,21,40.0,,3.3333333333333335
21,Rat1,A,Male,22,0.0,,7.333333333333333
22,Rat1,A,Male,23,0.0,,8.666666666666666
23,Rat1,A,Male,24,28.0,,40.666666666666664
24,Rat1,A,Male,25,48.0,,16.666666666666668
25,Rat1,A,Male,26,26.0,,43.333333333333336
26,Rat1,A,Male,27,14.0,,27.333333333333332
27,Rat1,A,Male,28,12.0,,0.0
28,Rat1,A,Male,29,0.0,,10.666666666666666
29,Rat1,A,Male,30,26.0,,4.666666666666667
30,Rat1,A,Male,31,38.0,,0.0
31,Rat1,A,Male,32,0.0,,0.0
32,Rat1,A,Male,33,36.0,,4.0
33,Rat1,A,Male,34,14.0,,4.0
34,Rat1,A,Male,35,10.0,,9.333333333333334
35,Rat1,A,Male,36,0.0,,39.333333333333336
36,Rat1,A,Male,37,22.0,,42.0
37,Rat1,A,Male,38,18.0,,24.666666666666668
38,Rat1,A,Male,39,38.0,,8.0
39,Rat1,A,Male,40,0.0,,18.0
40,Rat1,A,Male,41,0.0,,14.0
41,Rat1,A,Male,42,0.0,,11.333333333333334
42,Rat1,A,Male,43,0.0,,15.333333333333334
43,Rat1,A,Male,44,0.0,,52.666666666666664
44,Rat1,A,Male,45,40.0,,0.0
45,Rat2,A,Male,1,0.0,,4.0
46,Rat2,A,Male,2,12.0,,0.0
47,Rat2,A,Male,3,0.0,,4.0
48,Rat2,A,Male,4,10.0,,11.333333333333334
49,Rat2,A,Male,5,12.0,,4.666666666666667
