CRH18,CRH3,CRH9,CRH14,CRH4,CRH19,CRH15,DELETE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.130859,56.93359399999999,99.951172,62.20703100000001,10.15625,63.720703,99.951172,4.638672
6.152344,100.0,99.951172,100.0,5.126953,100.0,36.914063,8.300781
38.720703,100.0,99.951172,100.0,17.041016,100.0,99.951172,20.751953
14.599609,100.0,99.951172,100.0,10.693359,99.951172,99.951172,21.484375
18.408203,20.068359,100.0,100.0,19.042969,91.455078,99.951172,10.058594
25.78125,100.0,100.0,16.601563,49.121094,86.230469,100.0,20.214844
21.044922,18.75,99.951172,21.777344,23.681641,99.951172,100.0,1.464844
55.664063,99.951172,100.0,48.974609,10.693359,42.675781,100.0,3.3691410000000004
100.0,99.951172,100.0,99.951172,37.890625,99.951172,99.951172,5.615234
63.330078,99.951172,35.644531,99.951172,40.039063,99.951172,99.951172,6.787109
61.865233999999994,31.884766,31.396484,100.0,30.664063,90.527344,99.951172,5.664063
56.201172,99.951172,100.0,100.0,37.207031,100.0,99.951172,10.400391
14.111328,99.951172,11.523438,100.0,34.082031,19.775391,99.951172,28.759766
37.158203,39.746094,99.951172,100.0,55.273438,74.560547,48.4375,18.847656
69.140625,99.951172,95.410156,100.0,99.951172,34.960938,27.246094,0.6347659999999999
100.0,99.951172,85.839844,99.951172,92.578125,5.224609,99.951172,15.185547
99.951172,99.951172,100.0,100.0,100.0,52.63671899999999,99.951172,39.941406
71.044922,99.951172,100.0,100.0,68.75,20.703125,99.951172,4.345703
90.087891,99.951172,100.0,100.0,77.734375,6.8359380000000005,99.951172,27.783203000000004
37.646484,99.951172,100.0,100.0,22.900391,23.681641,99.951172,0.976563
99.951172,83.59375,100.0,100.0,26.513671999999996,100.0,100.0,1.708984
16.503906,80.517578,100.0,10.15625,29.785156,76.464844,100.0,5.712891
34.228516,63.427733999999994,100.0,25.292969,99.072266,100.0,92.871094,15.527344
8.056641,69.53125,83.935547,99.951172,79.980469,100.0,100.0,3.6132809999999997
40.771484,50.341797,53.22265600000001,99.951172,14.355469,100.0,28.222656,14.257813
17.041016,70.507813,58.154297,99.951172,5.419922,100.0,99.951172,6.152344
24.609375,100.0,61.767578,99.951172,10.791016,100.0,99.951172,4.345703
